address,price,link,bedrooms,bathrooms,cleaned_address,Latitude,Longitude
"19 Nortonville Dr, Toronto, ON M1T 2G9",$1.53M,https://www.zillow.com/homedetails/19-Nortonville-Dr-Toronto-ON-M1T-2G9/2066432012_zpid/,4,4,"19 Nortonville Dr, ON",43.78170289,-79.30654428
"35 Cedar Brae Blvd, Toronto, ON M1J 2K4",$1.10M,https://www.zillow.com/homedetails/35-Cedar-Brae-Blvd-Toronto-ON-M1J-2K4/2062006173_zpid/,4,4,"35 Cedar Brae Blvd, ON",43.74425933,-79.23360966
"16 Elfindale Cres, Toronto, ON M2J 1B5",$1.64M,https://www.zillow.com/homedetails/16-Elfindale-Cres-Toronto-ON-M2J-1B5/2062158628_zpid/,4,3,"16 Elfindale Cres, ON",43.76930746,-79.35411123
"72 Tidefall Dr, Toronto, ON M1W 1J2",$1.17M,https://www.zillow.com/homedetails/72-Tidefall-Dr-Toronto-ON-M1W-1J2/2062204070_zpid/,--,--,"72 Tidefall Dr, ON",43.78351454,-79.31874799
"268 Belsize Dr, Toronto, ON M4S 1M6",$1.37M,https://www.zillow.com/homedetails/268-Belsize-Dr-Toronto-ON-M4S-1M6/2069565569_zpid/,--,--,"268 Belsize Dr, ON",43.70379073,-79.38268108
"42 Ardgowan Cres, Toronto, ON M1V 1B3","C$900,000",https://www.zillow.com/homedetails/42-Ardgowan-Cres-Toronto-ON-M1V-1B3/2062202900_zpid/,3,3,"42 Ardgowan Cres, ON",43.81180369,-79.27168071
"5 Applefield Dr, Toronto, ON M1P 3X8","C$999,000",https://www.zillow.com/homedetails/5-Applefield-Dr-Toronto-ON-M1P-3X8/2062598177_zpid/,2,1,"5 Applefield Dr, ON",43.76218641,-79.25907763
"53 Sunnycrest Rd, Toronto, ON M2R 1V4",$1.43M,https://www.zillow.com/homedetails/53-Sunnycrest-Rd-Toronto-ON-M2R-1V4/2071845635_zpid/,--,--,"53 Sunnycrest Rd, ON",43.78545054,-79.45575538
"94 Nettlecreek Cres, Toronto, ON M1V 4K9",$1.31M,https://www.zillow.com/homedetails/94-Nettlecreek-Cres-Toronto-ON-M1V-4K9/2062485962_zpid/,5,4,"94 Nettlecreek Cres, ON",43.82504876,-79.28317444
"1223 Pharmacy Ave, Toronto, ON M1R 2H8","C$831,100",https://www.zillow.com/homedetails/1223-Pharmacy-Ave-Toronto-ON-M1R-2H8/2062054977_zpid/,3,2,"1223 Pharmacy Ave, ON",43.74777506,-79.30625769
"4 Bridgewater Rd, Toronto, ON M9A 2Z3",$3.40M,https://www.zillow.com/homedetails/4-Bridgewater-Rd-Toronto-ON-M9A-2Z3/2062241871_zpid/,--,--,"4 Bridgewater Rd, ON",43.6612968,-79.5246267
"116 Drayton Ave, Toronto, ON M4C 3L9",$1.13M,https://www.zillow.com/homedetails/116-Drayton-Ave-Toronto-ON-M4C-3L9/2062100873_zpid/,--,--,"116 Drayton Ave, ON",43.68229361,-79.31955366
"33 Ardmore Rd, Toronto, ON M5P 1V8",$3.76M,https://www.zillow.com/homedetails/33-Ardmore-Rd-Toronto-ON-M5P-1V8/2062195176_zpid/,--,--,"33 Ardmore Rd, ON",43.6943169,-79.4190861
"32 Enchanted Hills Cres, Toronto, ON M1V 3P2",$1.10M,https://www.zillow.com/homedetails/32-Enchanted-Hills-Cres-Toronto-ON-M1V-3P2/2062736369_zpid/,6,4,"32 Enchanted Hills Cres, ON",43.8282795,-79.27809219
"45 Prince Philip Blvd, Toronto, ON M1E 1J4","C$999,900",https://www.zillow.com/homedetails/45-Prince-Philip-Blvd-Toronto-ON-M1E-1J4/2062171912_zpid/,--,--,"45 Prince Philip Blvd, ON",43.7433776,-79.2025527
"37 Lewis St, Toronto, ON M4M 2H2",$1.35M,https://www.zillow.com/homedetails/37-Lewis-St-Toronto-ON-M4M-2H2/2062671893_zpid/,--,--,"37 Lewis St, ON",42.9823145,-79.2338335
"7 Minto St, Toronto, ON M4L 1B5","C$999,999",https://www.zillow.com/homedetails/7-Minto-St-Toronto-ON-M4L-1B5/2063141075_zpid/,--,--,"7 Minto St, ON",43.66350323,-79.3243528
"9 Sonneck Sq, Toronto, ON M1E 1A8",$1.40M,https://www.zillow.com/homedetails/9-Sonneck-Sq-Toronto-ON-M1E-1A8/2062192628_zpid/,4,2,"9 Sonneck Sq, ON",43.74102986,-79.20204853
"24 Caribou Rd, Toronto, ON M5N 2A3",$4.50M,https://www.zillow.com/homedetails/24-Caribou-Rd-Toronto-ON-M5N-2A3/2062219042_zpid/,7,4,"24 Caribou Rd, ON",43.7203981,-79.4178885
"8 Eastlea Cres, Toronto, ON M1T 3A6",$1.10M,https://www.zillow.com/homedetails/8-Eastlea-Cres-Toronto-ON-M1T-3A6/2062228910_zpid/,3,3,"8 Eastlea Cres, ON",43.79626752,-79.30098854
"166 Gristone Cres, Toronto, ON M1X 1T4","C$800,000",https://www.zillow.com/homedetails/166-Gristone-Cres-Toronto-ON-M1X-1T4/2062216868_zpid/,3,3,"166 Gristone Cres, ON",43.82514595,-79.21337149
"56 Greybeaver Trl, Toronto, ON M1C 4N6",$1.10M,https://www.zillow.com/homedetails/56-Greybeaver-Trl-Toronto-ON-M1C-4N6/2062248646_zpid/,--,--,"56 Greybeaver Trl, ON",43.78739373,-79.12676226
"25 Muirdale Ave, Toronto, ON M9R 2V3",$1.61M,https://www.zillow.com/homedetails/25-Muirdale-Ave-Toronto-ON-M9R-2V3/2062228605_zpid/,--,--,"25 Muirdale Ave, ON",43.68363534,-79.54936357
"219 Richview Ave, Toronto, ON M5P 3G2",$3.45M,https://www.zillow.com/homedetails/219-Richview-Ave-Toronto-ON-M5P-3G2/2062228627_zpid/,5,6,"219 Richview Ave, ON",43.6950935,-79.42155944
"38 Noranda Dr, Toronto, ON M6M 2X9",$1.63M,https://www.zillow.com/homedetails/38-Noranda-Dr-Toronto-ON-M6M-2X9/2062144956_zpid/,--,--,"38 Noranda Dr, ON",43.70073042,-79.49084799
"53 Challenger Ct, Toronto, ON M1C 4Z4",$1.49M,https://www.zillow.com/homedetails/53-Challenger-Ct-Toronto-ON-M1C-4Z4/2062211644_zpid/,--,--,"53 Challenger Ct, ON",43.78900092,-79.18442341
"80 Crayford Dr, Toronto, ON M1W 3B6",$1.19M,https://www.zillow.com/homedetails/80-Crayford-Dr-Toronto-ON-M1W-3B6/2062241908_zpid/,--,--,"80 Crayford Dr, ON",43.81496058,-79.33481965
"74 Brentcliffe Rd, Toronto, ON M4G 3Y6",$1.89M,https://www.zillow.com/homedetails/74-Brentcliffe-Rd-Toronto-ON-M4G-3Y6/2062350203_zpid/,--,--,"74 Brentcliffe Rd, ON",43.7167936,-79.3612808
